1952181250	0	0
3871206146	1	0
1993009922	2	0
935914242	3	0
963196400	0	2
2313895152	1	2
3910286320	2	2
1506097648	3	2
2041722096	0	3
1231895280	1	3
3646501104	2	3
1506490864	3	3
1322117890	4	0
163375874	5	0
3388159472	4	2
1766797808	5	2
421278960	6	2
2577282800	4	3
2034515184	5	3
3910349040	6	3
961101040	7	3
971455728	0	4
963459824	1	4
4184814064	2	4
2312647152	3	4
3108255728	0	5
695941360	1	5
432812272	2	5
1765291504	3	5
1227045360	0	6
435040496	1	6
2312321008	2	6
960444400	3	6
1774926320	0	7
2300393968	1	7
699741424	2	7
4179704304	3	7
963853040	4	4
972369904	5	4
1232419056	6	4
2303800816	7	4
3120051696	4	5
163462128	5	5
2311927792	6	5
2568502256	7	5
4189928432	4	6
2849124848	5	6
2307276272	6	6
429471472	7	6
164115696	4	7
167456752	5	7
2302950640	6	7
1775908336	7	7
